Timestamp,What is your favourite Pokémon?
6/13/2019 13:02:02,Munchlax
6/13/2019 12:44:01,Type-Null
6/13/2019 12:44:46,Giratina
6/13/2019 12:44:57,Gardevoir
6/13/2019 12:45:27,Porygon2
6/13/2019 12:45:43,Torterra
6/13/2019 12:46:18,Weavile
6/13/2019 12:46:27,Vaporeon
6/13/2019 12:47:24,Luxray
6/13/2019 12:47:29,Raichu
6/14/2019 23:02:17,Latias
6/13/2019 12:48:02,Ninetales
6/13/2019 12:48:17,Swampert
6/13/2019 12:48:30,Scizor
6/13/2019 12:48:31,Ferrothorn
6/13/2019 12:49:00,Dusknoir
6/13/2019 12:50:35,Ampharos
6/13/2019 12:50:37,Alakazam
6/13/2019 12:50:45,Delibird
6/13/2019 12:51:14,Luxray
6/13/2019 12:51:25,Blastoise
6/13/2019 12:51:32,Eelektross
6/13/2019 12:51:48,Garbodor
6/13/2019 12:51:54,Lurantis
6/13/2019 12:52:45,Archeops
6/13/2019 12:52:49,Dunsparce
6/13/2019 12:53:15,Lugia
6/13/2019 12:53:17,Metagross
6/13/2019 12:53:51,Mienshao
6/13/2019 12:54:23,Bastiodon
6/14/2019 16:22:01,Absol
6/13/2019 12:54:36,Psyduck
6/13/2019 12:54:41,Scolipede
6/13/2019 12:54:58,Aggron
6/13/2019 12:55:03,Zoroark
6/13/2019 12:56:33,Greninja
6/13/2019 12:56:37,Glaceon
6/13/2019 12:56:44,Turtonator
6/13/2019 12:56:48,Blaziken
6/13/2019 12:56:48,Parasect
6/13/2019 12:56:57,Skitty
6/13/2019 12:56:57,Staravia
6/13/2019 12:57:49,Greninja
6/13/2019 12:58:09,Dwebble
6/13/2019 12:58:49,Mawile
6/13/2019 12:58:51,Crobat
6/13/2019 13:00:01,Rayquaza
6/13/2019 13:00:24,Gallade
6/13/2019 13:00:09,Kirlia
6/13/2019 13:01:29,Metagross
6/13/2019 13:01:45,Togekiss
6/13/2019 13:02:27,Absol
6/13/2019 13:02:31,Goodra
6/13/2019 13:02:56,Froslass
6/13/2019 13:02:59,Darkrai
6/13/2019 13:03:38,Latios
6/13/2019 13:04:21,Lucario
6/13/2019 13:03:44,Bayleef
6/13/2019 13:04:26,Typhlosion
6/13/2019 13:05:01,Surskit
6/13/2019 13:05:14,Gengar
6/13/2019 13:06:49,Victini
6/13/2019 13:07:12,Sceptile
6/13/2019 13:07:18,Noivern
6/13/2019 13:07:35,Sableye
6/13/2019 13:07:49,Umbreon
6/13/2019 13:07:55,Lugia
6/13/2019 13:08:20,Pichu
6/13/2019 13:08:30,Tapu-Koko
6/13/2019 13:08:37,Bidoof
6/13/2019 13:09:13,Jirachi
6/13/2019 13:09:28,Espurr
6/13/2019 13:09:21,Garchomp
6/13/2019 13:10:17,Darmanitan
6/13/2019 13:09:55,Decidueye
6/13/2019 13:10:37,Swampert
6/13/2019 13:10:25,Kabutops
6/13/2019 13:10:52,Aggron
6/13/2019 15:31:25,Weavile
6/13/2019 13:11:29,Delcatty
6/13/2019 13:12:05,Feraligatr
6/13/2019 13:12:55,Gengar
6/13/2019 13:13:14,Bisharp
6/13/2019 13:13:23,Hydreigon
6/13/2019 13:13:25,Infernape
6/13/2019 13:14:06,Smeargle
6/13/2019 13:14:06,Absol
6/13/2019 13:15:04,Charizard
6/13/2019 13:16:37,Steelix
6/13/2019 13:17:20,Prinplup
6/13/2019 13:17:29,Tyrantrum
6/13/2019 13:17:45,Gyarados
6/13/2019 13:17:54,Dedenne
6/13/2019 13:18:44,Metagross
6/13/2019 13:19:12,Oshawott
6/13/2019 13:19:28,Dustox
6/13/2019 13:19:39,Forretress
6/13/2019 13:20:35,Forretress
6/13/2019 13:20:47,Persian
6/13/2019 13:20:55,Luxray
6/13/2019 13:21:09,Abra
6/13/2019 13:21:31,Breloom
6/13/2019 13:22:22,Typhlosion
6/13/2019 13:22:23,Aipom
6/13/2019 13:23:23,Cofagrigus
6/13/2019 13:23:30,Cacturne
6/13/2019 13:24:29,Mimikyu
6/13/2019 13:25:44,Serperior
6/13/2019 13:25:51,Excadrill
6/13/2019 13:27:08,Metagross
6/13/2019 13:27:44,Blaziken
6/13/2019 13:28:39,Metagross
6/13/2019 13:28:48,Larvesta
6/13/2019 13:29:54,Pidgeot
6/13/2019 13:29:43,Abra
6/13/2019 13:29:03,Sableye
6/13/2019 13:29:54,Sableye
6/13/2019 13:30:03,Scolipede
6/13/2019 13:30:09,Linoone
6/13/2019 13:30:28,Volcarona
6/13/2019 13:31:46,Ninetales
6/13/2019 13:31:52,Bellossom
6/13/2019 13:32:08,Trevenant
6/13/2019 13:32:09,Electabuzz
6/13/2019 13:32:26,Mimikyu
6/13/2019 13:32:30,Emolga
6/13/2019 13:32:58,Flygon
6/13/2019 13:33:11,Totodile
6/13/2019 13:33:19,Dunsparce
6/13/2019 13:33:21,Primeape
6/13/2019 13:34:12,
6/13/2019 13:34:16,Jynx
6/13/2019 13:34:20,Necrozma
6/13/2019 13:34:28,Crobat
6/13/2019 13:34:46,Haunter
6/13/2019 13:34:59,Amaura
6/13/2019 13:35:24,Passimian
6/13/2019 13:35:31,Charmander
6/13/2019 13:35:32,Ninetales
6/13/2019 13:35:36,Zoroark
6/13/2019 13:35:37,Mime-Jr
6/13/2019 13:35:40,Bulbasaur
6/13/2019 13:35:46,Sceptile
6/13/2019 13:36:36,Flygon
