 Total battles: 752357
 Avg. weight/team: 1.0
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Zacian-Crowned     | 47.21475% | 710447 | 47.215% | 480726 | 70.553% | 
 | 2    | Incineroar         | 45.29259% | 681524 | 45.293% | 295545 | 43.375% | 
 | 3    | Kyogre             | 33.56425% | 505046 | 33.564% | 315127 | 46.249% | 
 | 4    | Regieleki          | 22.45271% | 337849 | 22.453% | 110899 | 16.276% | 
 | 5    | Grimmsnarl         | 20.85506% | 313809 | 20.855% | 116015 | 17.027% | 
 | 6    | Rillaboom          | 20.57022% | 309523 | 20.570% | 105015 | 15.412% | 
 | 7    | Thundurus          | 20.52496% | 308842 | 20.525% | 96479  | 14.160% | 
 | 8    | Calyrex-Shadow     | 18.85953% | 283782 | 18.860% | 174100 | 25.551% | 
 | 9    | Whimsicott         | 17.94833% | 270071 | 17.948% | 102550 | 15.051% | 
 | 10   | Groudon            | 16.06458% | 241726 | 16.065% | 161334 | 23.678% | 
 | 11   | Landorus-Therian   | 15.48294% | 232974 | 15.483% | 88963  | 13.056% | 
 | 12   | Amoonguss          | 14.90429% | 224267 | 14.904% | 77023  | 11.304% | 
 | 13   | Venusaur           | 13.39318% | 201529 | 13.393% | 75622  | 11.098% | 
 | 14   | Yveltal            | 12.68101% | 190813 | 12.681% | 107656 | 15.800% | 
 | 15   | Gastrodon          | 11.65956% | 175443 | 11.660% | 65981  |  9.684% | 
 | 16   | Tornadus           | 10.87423% | 163626 | 10.874% | 58604  |  8.601% | 
 | 17   | Indeedee-F         | 10.82186% | 162838 | 10.822% | 61883  |  9.082% | 
 | 18   | Calyrex-Ice        | 10.40018% | 156493 | 10.400% | 103418 | 15.178% | 
 | 19   | Solgaleo           |  8.93333% | 134421 |  8.933% | 75275  | 11.048% | 
 | 20   | Zapdos             |  8.71455% | 131129 |  8.715% | 46551  |  6.832% | 
 | 21   | Charizard          |  8.11516% | 122110 |  8.115% | 48002  |  7.045% | 
 | 22   | Urshifu            |  6.49153% | 97679  |  6.492% | 36188  |  5.311% | 
 | 23   | Dialga             |  6.38440% | 96067  |  6.384% | 50456  |  7.405% | 
 | 24   | Mimikyu            |  5.87254% | 88365  |  5.873% | 36150  |  5.305% | 
 | 25   | Palkia             |  5.66214% | 85199  |  5.662% | 48585  |  7.130% | 
 | 26   | Ferrothorn         |  5.37079% | 80815  |  5.371% | 29565  |  4.339% | 
 | 27   | Blastoise          |  5.20757% | 78359  |  5.208% | 24384  |  3.579% | 
 | 28   | Porygon2           |  4.76622% | 71718  |  4.766% | 26907  |  3.949% | 
 | 29   | Ditto              |  4.41765% | 66473  |  4.418% | 31509  |  4.624% | 
 | 30   | Seismitoad         |  4.33145% | 65176  |  4.331% | 24464  |  3.590% | 
 | 31   | Raichu             |  4.28121% | 64420  |  4.281% | 25410  |  3.729% | 
 | 32   | Kyurem-White       |  4.12377% | 62051  |  4.124% | 36236  |  5.318% | 
 | 33   | Torkoal            |  4.09759% | 61657  |  4.098% | 26174  |  3.841% | 
 | 34   | Kartana            |  4.03087% | 60653  |  4.031% | 24387  |  3.579% | 
 | 35   | Urshifu-Rapid-Strike |  3.51123% | 52834  |  3.511% | 20825  |  3.056% | 
 | 36   | Rotom-Heat         |  3.47269% | 52254  |  3.473% | 18313  |  2.688% | 
 | 37   | Ho-Oh              |  3.39526% | 51089  |  3.395% | 31307  |  4.595% | 
 | 38   | Lapras             |  3.38224% | 50893  |  3.382% | 20284  |  2.977% | 
 | 39   | Dusclops           |  3.34356% | 50311  |  3.344% | 20441  |  3.000% | 
 | 40   | Tapu Fini          |  3.09946% | 46638  |  3.099% | 17287  |  2.537% | 
 | 41   | Xerneas            |  3.02582% | 45530  |  3.026% | 23801  |  3.493% | 
 | 42   | Regigigas          |  2.52825% | 38043  |  2.528% | 11543  |  1.694% | 
 | 43   | Cinderace          |  2.52407% | 37980  |  2.524% | 15417  |  2.263% | 
 | 44   | Weezing            |  2.47775% | 37283  |  2.478% | 16791  |  2.464% | 
